Subject	Sex	Group	Age	Date	Day	Session	Phase	trial_number	position_correct	configuration	chosen_cup_POS	chosen_cup	correct	peek_above	peek_below	peeking	unclear	peek_above.s	peek_below.s	peeking.s	Comment	Comment2			Chosen_distractor	switching_mistakes		
Roy 	m	young chimps	11	02/11/2018	21	1	transparent	10	3	open	3	b	1	0	0	0		0	0	0								
Roy 	m	young chimps	11	02/11/2018	21	1	transparent	11	2	mixed	2	b	1	0	0	0		0	0	0								
Roy 	m	young chimps	11	02/11/2018	21	1	transparent	12	1	baited	1	b	1	0	0	0		0	0	0								
Roy 	m	young chimps	11	02/11/2018	21	1	opaque	1	1	open	1	b	1	0	0	0		0	0	0								
Roy 	m	young chimps	11	02/11/2018	21	1	opaque	2	4	baited	2	lb	0	0	0	0		0	0	0								
Roy 	m	young chimps	11	02/11/2018	21	1	opaque	3	2	mixed	1	e	0	0	0	0		0	0	0								
Roy 	m	young chimps	11	02/11/2018	21	1	opaque	4	2	open	2	b	1	0	0	0		0	0	0	peek from the side							
Roy 	m	young chimps	11	02/11/2018	21	1	opaque	5	4	mixed	1	l	0	0	0	0		0	0	0								
Roy 	m	young chimps	11	02/11/2018	21	1	opaque	6	3	baited	1	lb	0	0	0	0		0	0	0								
Roy 	m	young chimps	11	02/11/2018	21	2	opaque	7	1	mixed	1	b	1	0	0	0		0	0	0								
Roy 	m	young chimps	11	02/11/2018	21	2	opaque	8	4	open	1	e	0	0	0	0		0	0	0								
Roy 	m	young chimps	11	02/11/2018	21	2	opaque	9	2	baited	1	lb	0	0	0	0		0	0	0								
Roy 	m	young chimps	11	02/11/2018	21	2	opaque	10	2	open	1	e	0	0	0	0		0	0	0								
Roy 	m	young chimps	11	02/11/2018	21	2	opaque	11	4	mixed	1	l	0	0	0	0		0	0	0								
Roy 	m	young chimps	11	02/11/2018	21	2	opaque	12	4	baited	1	lb	0	0	0	0		0	0	0								
Uruhara	m	young chimps	29	02/11/2018	21	1	transparent	1	4	baited	2	lb	0	0	0	0		0	0	0								
Uruhara	m	young chimps	29	02/11/2018	21	1	transparent	2	4	mixed	4	b	1	0	0	0		0	0	0								
Uruhara	m	young chimps	29	02/11/2018	21	1	transparent	3	3	open	3	b	1	0	0	0		0	0	0								
Uruhara	m	young chimps	29	02/11/2018	21	1	transparent	4	3	baited	3	b	1	0	0	0		0	0	0								
Uruhara	m	young chimps	29	02/11/2018	21	1	transparent	5	1	open	3	e	0	0	0	0		0	0	0								
Uruhara	m	young chimps	29	02/11/2018	21	1	transparent	6	1	mixed	2	lb	0	0	0	0		0	0	0								
Uruhara	m	young chimps	29	02/11/2018	21	1	transparent	7	4	open	3	e	0	0	0	0		0	0	0	corrected from video							
Uruhara	m	young chimps	29	02/11/2018	21	1	transparent	8	2	baited	3	lb	0	0	0	0		0	0	0								
Uruhara	m	young chimps	29	02/11/2018	21	1	transparent	9	2	mixed	4	lb	0	0	0	0		0	0	0								
Uruhara	m	young chimps	29	02/11/2018	21	1	transparent	10	2	open	2	b	1	0	0	0		0	0	0								
Uruhara	m	young chimps	29	02/11/2018	21	1	transparent	11	2	mixed	3	lb	0	0	0	0		0	0	0								
Uruhara	m	young chimps	29	02/11/2018	21	1	transparent	12	1	baited	2	b	1	0	0	0		0	0	0								
Uruhara	m	young chimps	29	02/11/2018	21	1	opaque	1	3	mixed	2	e	0	0	0	0		0	0	0								
Uruhara	m	young chimps	29	02/11/2018	21	1	opaque	2	1	baited	2	lb	0	0	0	0		0	0	0								
Uruhara	m	young chimps	29	02/11/2018	21	1	opaque	3	1	open	3	e	0	0	0	0		0	0	0								
Uruhara	m	young chimps	29	02/11/2018	21	1	opaque	4	3	baited	3	b	1	0	0	0		0	0	0								
Uruhara	m	young chimps	29	02/11/2018	21	1	opaque	5	4	mixed	3	l	0	0	0	0		0	0	0								
Uruhara	m	young chimps	29	02/11/2018	21	1	opaque	6	3	open	3	b	1	0	0	0		0	0	0								
Uruhara	m	young chimps	29	02/11/2018	21	2	opaque	7	3	mixed	3	b	1	0	1	1		0	1	1	00:45							
Uruhara	m	young chimps	29	02/11/2018	21	2	opaque	8	3	open	4	e	0	0	0	0		0	0	0								
Uruhara	m	young chimps	29	02/11/2018	21	2	opaque	9	2	baited	2	b	1	0	0	0		0	0	0								
Uruhara	m	young chimps	29	02/11/2018	21	2	opaque	10	2	mixed	4	e	0	0	0	0		0	0	0								
Uruhara	m	young chimps	29	02/11/2018	21	2	opaque	11	1	baited	2	lb	0	1	0	1	1	0	0	0	07:23							
Uruhara	m	young chimps	29	02/11/2018	21	2	opaque	12	4	open	3	e	0	0	0	0		0	0	0								
Manno	m	young chimps	5	03/11/2018	21	1	transparent	1	1	open	1	b	1	0	0	0		0	0	0								
Manno	m	young chimps	5	03/11/2018	21	1	transparent	2	4	mixed	4	b	1	0	0	0		0	0	0								
Manno	m	young chimps	5	03/11/2018	21	1	transparent	3	4	baited	4	b	1	0	0	0		0	0	0								
Manno	m	young chimps	5	03/11/2018	21	1	transparent	4	4	open	4	b	1	0	0	0		0	0	0								
Manno	m	young chimps	5	03/11/2018	21	1	transparent	5	3	baited	4	lb	0	0	0	0		0	0	0								
Manno	m	young chimps	5	03/11/2018	21	1	transparent	6	2	mixed	3	lb	0	0	0	0		0	0	0								
Manno	m	young chimps	5	03/11/2018	21	1	transparent	7	2	baited	3	lb	0	0	0	0		0	0	0								
Manno	m	young chimps	5	03/11/2018	21	1	transparent	8	3	open	3	b	1	0	0	0		0	0	0								
Manno	m	young chimps	5	03/11/2018	21	1	transparent	9	2	mixed	2	b	1	0	0	0		0	0	0								
Manno	m	young chimps	5	03/11/2018	21	1	transparent	10	1	baited	1	b	1	0	0	0		0	0	0								
Manno	m	young chimps	5	03/11/2018	21	1	transparent	11	4	mixed	4	b	1	0	0	0		0	0	0								
Manno	m	young chimps	5	03/11/2018	21	1	transparent	12	2	open	2	b	1	0	0	0		0	0	0								
Manno	m	young chimps	5	03/11/2018	21	1	opaque	1	4	mixed	4	b	1	0	1	1		0	1	1	20:25	corrected from video						
Manno	m	young chimps	5	03/11/2018	21	1	opaque	2	2	baited	3	lb	0	0	0	0		0	0	0								
Manno	m	young chimps	5	03/11/2018	21	1	opaque	3	3	open	3	b	1	0	0	0		0	0	0								
Manno	m	young chimps	5	03/11/2018	21	1	opaque	4	3	baited	3	b	1	0	0	0		0	0	0								
Manno	m	young chimps	5	03/11/2018	21	1	opaque	5	2	mixed	4	lb	0	0	0	0		0	0	0								
Manno	m	young chimps	5	03/11/2018	21	1	opaque	6	2	open	3	e	0	0	0	0		0	0	0								
Manno	m	young chimps	5	04/11/2018	21	2	opaque	7	1	mixed	3	e	0	1	1	1	1	0	0	0	"pulled occluder,"							
Manno	m	young chimps	5	04/11/2018	21	2	opaque	8	1	open	1	b	1	0	1	1		0	1	1	02:21							
Manno	m	young chimps	5	04/11/2018	21	2	opaque	9	1	baited	1	b	1	1	0	1	1	0	0	0	"pulled occluder, trial repeated 13"							
Manno	m	young chimps	5	04/11/2018	21	2	opaque	10	4	open	4	b	1	0	0	0		0	0	0								
Manno	m	young chimps	5	04/11/2018	21	2	opaque	11	3	mixed	3	b	1	1	1	1		1	1	1	06:49							
Manno	m	young chimps	5	04/11/2018	21	2	opaque	12	4	baited	4	b	1	1	0	1		1	0	1	08:56							
Jane	f	young chimps	14	03/11/2018	21	1	transparent	1	3	baited	3	lb	0	0	0	0		0	0	0								
Jane	f	young chimps	14	03/11/2018	21	1	transparent	2	1	open	1	e	0	0	0	0		0	0	0								
Jane	f	young chimps	14	03/11/2018	21	1	transparent	3	1	mixed	1	lb	0	0	0	0		0	0	0								
Jane	f	young chimps	14	03/11/2018	21	1	transparent	4	2	baited	2	lb	0	0	0	0		0	0	0								
Jane	f	young chimps	14	03/11/2018	21	1	transparent	5	3	mixed	3	e	0	0	0	0		0	0	0								
Jane	f	young chimps	14	03/11/2018	21	1	transparent	6	2	open	2	b	1	0	0	0		0	0	0								
Jane	f	young chimps	14	03/11/2018	21	1	transparent	7	2	mixed	2	b	1	0	0	0		0	0	0								
Jane	f	young chimps	14	03/11/2018	21	1	transparent	8	3	open	3	b	1	0	0	0		0	0	0								
Jane	f	young chimps	14	03/11/2018	21	1	transparent	9	1	baited	1	lb	0	0	0	0		0	0	0								
Jane	f	young chimps	14	03/11/2018	21	1	transparent	10	4	open	4	b	1	0	0	0		0	0	0								
Jane	f	young chimps	14	03/11/2018	21	1	transparent	11	4	baited	4	b	1	0	0	0		0	0	0								
Jane	f	young chimps	14	03/11/2018	21	1	transparent	12	2	mixed	2	lb	0	0	0	0		0	0	0								
Jane	f	young chimps	14	03/11/2018	21	1	opaque	1	4	open	4	b	1	0	1	1		0	1	1								
Jane	f	young chimps	14	03/11/2018	21	1	opaque	2	4	baited	4	lb	0	0	1	1		0	1	1								
Jane	f	young chimps	14	03/11/2018	21	1	opaque	3	2	mixed	2	lb	0	0	1	1		0	1	1								
Jane	f	young chimps	14	03/11/2018	21	1	opaque	4	3	open	3	e	0	0	0	0		0	0	0								
Jane	f	young chimps	14	03/11/2018	21	1	opaque	5	2	mixed	2	lb	0	0	0	0		0	0	0								
Jane	f	young chimps	14	03/11/2018	21	1	opaque	6	1	baited	1	b	1	0	0	0		0	0	0								
Jane	f	young chimps	14	04/11/2018	21	2	opaque	7	3	mixed	3	b	1	0	1	1	1	0	0	0	ate leftover food from previous subject	03:02						
Jane	f	young chimps	14	04/11/2018	21	2	opaque	8	1	open	2	e	0	0	0	0		0	0	0								
Jane	f	young chimps	14	04/11/2018	21	2	opaque	9	2	baited	2	b	1	0	0	0		0	0	0								
Jane	f	young chimps	14	04/11/2018	21	2	opaque	10	4	mixed	1	e	0	0	0	0		0	0	0								
Jane	f	young chimps	14	04/11/2018	21	2	opaque	11	3	baited	1	lb	0	0	0	0		0	0	0								
Jane	f	young chimps	14	04/11/2018	21	2	opaque	12	2	open	1	e	0	0	0	0		0	0	0								
Amizero	f	young chimps	29	03/11/2018	21	1	transparent	1	1	open	1	b	1	0	0	0		0	0	0								
Amizero	f	young chimps	29	03/11/2018	21	1	transparent	2	4	mixed	3	lb	0	0	0	0		0	0	0								
Amizero	f	young chimps	29	03/11/2018	21	1	transparent	3	4	baited	2	lb	0	0	0	0		0	0	0								
Amizero	f	young chimps	29	03/11/2018	21	1	transparent	4	4	open	4	b	1	0	0	0		0	0	0								
Amizero	f	young chimps	29	03/11/2018	21	1	transparent	5	3	baited	3	b	1	0	0	0		0	0	0								
Amizero	f	young chimps	29	03/11/2018	21	1	transparent	6	2	mixed	2	b	1	0	0	0		0	0	0								
Amizero	f	young chimps	29	03/11/2018	21	1	transparent	7	2	baited	3	lb	0	0	0	0		0	0	0								
Amizero	f	young chimps	29	03/11/2018	21	1	transparent	8	3	open	3	b	1	0	0	0		0	0	0								
Amizero	f	young chimps	29	03/11/2018	21	1	transparent	9	2	mixed	2	b	1	0	0	0		0	0	0								
Amizero	f	young chimps	29	03/11/2018	21	1	transparent	10	1	baited	4	lb	0	0	0	0		0	0	0								
Amizero	f	young chimps	29	03/11/2018	21	1	transparent	11	4	mixed	4	b	1	0	0	0		0	0	0								
Amizero	f	young chimps	29	03/11/2018	21	1	transparent	12	2	open	2	b	1	0	0	0		0	0	0								
Amizero	f	young chimps	29	03/11/2018	21	1	opaque	1	4	mixed	2	lb	0	0	0	0		0	0	0								
Amizero	f	young chimps	29	03/11/2018	21	1	opaque	2	2	baited	2	b	1	0	0	0		0	0	0								
Amizero	f	young chimps	29	03/11/2018	21	1	opaque	3	3	open	3	b	1	0	0	0		0	0	0								
Amizero	f	young chimps	29	03/11/2018	21	1	opaque	4	3	baited	2	lb	0	0	0	0		0	0	0								
Amizero	f	young chimps	29	03/11/2018	21	1	opaque	5	2	mixed	2	b	1	0	0	0		0	0	0								
Amizero	f	young chimps	29	03/11/2018	21	1	opaque	6	2	open	2	b	1	0	0	0		0	0	0								
Amizero	f	young chimps	29	04/11/2018	21	2	opaque	7	3	mixed	3	b	1	0	0	0		0	0	0								
Amizero	f	young chimps	29	04/11/2018	21	2	opaque	8	1	open	3	e	0	0	0	0		0	0	0								
Amizero	f	young chimps	29	04/11/2018	21	2	opaque	9	1	baited	1	b	1	0	0	0		0	0	0	corrected from video							
Amizero	f	young chimps	29	04/11/2018	21	2	opaque	10	4	open	3	e	0	0	0	0		0	0	0								
Amizero	f	young chimps	29	04/11/2018	21	2	opaque	11	3	mixed	4	e	0	0	0	0		0	0	0								
Amizero	f	young chimps	29	04/11/2018	21	2	opaque	12	4	baited	3	lb	0	0	0	0		0	0	0								
Tess	f	young chimps	26	03/11/2018	21	1	transparent	1	3	baited	4	lb	0	0	0	0		0	0	0	food fell out closed cylinder							
Tess	f	young chimps	26	03/11/2018	21	1	transparent	2	1	open	1	b	1	0	0	0		0	0	0								
Tess	f	young chimps	26	03/11/2018	21	1	transparent	3	1	mixed	1	b	1	0	0	0		0	0	0								
Tess	f	young chimps	26	03/11/2018	21	1	transparent	4	2	baited	2	b	1	0	0	0		0	0	0								
Tess	f	young chimps	26	03/11/2018	21	1	transparent	5	3	mixed	3	b	1	0	0	0		0	0	0								
Tess	f	young chimps	26	03/11/2018	21	1	transparent	6	2	open	2	b	1	0	0	0		0	0	0								
Tess	f	young chimps	26	03/11/2018	21	1	transparent	7	2	mixed	1	lb	0	0	0	0		0	0	0								
Tess	f	young chimps	26	03/11/2018	21	1	transparent	8	3	open	3	b	1	0	0	0		0	0	0								
Tess	f	young chimps	26	03/11/2018	21	1	transparent	9	1	baited	2	lb	0	0	0	0		0	0	0								
Tess	f	young chimps	26	03/11/2018	21	1	transparent	10	4	open	3	e	0	0	0	0		0	0	0								
Tess	f	young chimps	26	03/11/2018	21	1	transparent	11	4	baited	3	lb	0	0	0	0		0	0	0								
Tess	f	young chimps	26	03/11/2018	21	1	transparent	12	2	mixed	2	b	1	0	0	0		0	0	0								
Tess	f	young chimps	26	03/11/2018	21	1	opaque	1	4	open	2	e	0	0	0	0		0	0	0								
Tess	f	young chimps	26	03/11/2018	21	1	opaque	2	4	baited	2	lb	0	0	0	0		0	0	0								
Tess	f	young chimps	26	03/11/2018	21	1	opaque	3	2	mixed	2	b	1	0	0	0		0	0	0								
Tess	f	young chimps	26	03/11/2018	21	1	opaque	4	3	open	3	b	1	0	0	0		0	0	0								
Tess	f	young chimps	26	03/11/2018	21	1	opaque	5	2	mixed	2	b	1	0	0	0		0	0	0								
Tess	f	young chimps	26	03/11/2018	21	1	opaque	6	1	baited	1	b	1	0	0	0		0	0	0								
Tess	f	young chimps	26	04/11/2018	21	2	opaque	7	3	mixed	3	b	1	0	0	0		0	0	0								
Tess	f	young chimps	26	04/11/2018	21	2	opaque	8	1	open	1	b	1	0	0	0		0	0	0								
Tess	f	young chimps	26	04/11/2018	21	2	opaque	9	2	baited	2	b	1	1	0	1	1	0	0	0	04:11							
Tess	f	young chimps	26	04/11/2018	21	2	opaque	10	4	mixed	2	lb	0	0	0	0		0	0	0								
Tess	f	young chimps	26	04/11/2018	21	2	opaque	11	3	baited	3	b	1	0	0	0		0	0	0								
Tess	f	young chimps	26	04/11/2018	21	2	opaque	12	2	open	4	e	0	0	0	0		0	0	0								
Mwanzo	f	old chimps	22	05/11/2018	19	1	transparent	1	2	mixed	1	lb	0	0	0	0		0	0	0								
Mwanzo	f	old chimps	22	05/11/2018	19	1	transparent	2	4	open	4	b	1	0	0	0		0	0	0	chose 2 first							
Mwanzo	f	old chimps	22	05/11/2018	19	1	transparent	3	2	baited	3	lb	0	0	0	0		0	0	0								
Mwanzo	f	old chimps	22	05/11/2018	19	1	transparent	4	1	open	3	e	0	0	0	0		0	0	0	chose correct cup on the first table							
Mwanzo	f	old chimps	22	05/11/2018	19	1	transparent	5	2	mixed	3	e	0	0	0	0		0	0	0								
Mwanzo	f	old chimps	22	05/11/2018	19	1	transparent	6	4	baited	4	b	1	0	0	0		0	0	0	chose 3 lb first							
Mwanzo	f	old chimps	22	05/11/2018	19	1	transparent	7	4	mixed	4	b	1	0	0	0		0	0	0								
Mwanzo	f	old chimps	22	05/11/2018	19	1	transparent	8	2	open	2	b	1	0	0	0		0	0	0								
Mwanzo	f	old chimps	22	05/11/2018	19	1	transparent	9	3	baited	4	lb	0	0	0	0		0	0	0								
Mwanzo	f	old chimps	22	05/11/2018	19	1	transparent	10	3	open	3	b	1	0	0	0		0	0	0								
Mwanzo	f	old chimps	22	05/11/2018	19	1	transparent	11	2	mixed	3	l	0	0	0	0		0	0	0								
Mwanzo	f	old chimps	22	05/11/2018	19	1	transparent	12	1	baited	2	lb	0	0	0	0		0	0	0								
Mwanzo	f	old chimps	22	05/11/2018	19	1	opaque	1	1	open	3	e	0	0	0	0		0	0	0								
Mwanzo	f	old chimps	22	05/11/2018	19	1	opaque	2	4	baited	3	lb	0	0	0	0		0	0	0								
Mwanzo	f	old chimps	22	05/11/2018	19	1	opaque	3	2	mixed	3	l	0	0	0	0		0	0	0								
Mwanzo	f	old chimps	22	05/11/2018	19	1	opaque	4	2	open	2	b	1	0	0	0		0	0	0								
Mwanzo	f	old chimps	22	05/11/2018	19	1	opaque	5	4	mixed	2	lb	0	0	0	0		0	0	0								
Mwanzo	f	old chimps	22	05/11/2018	19	1	opaque	6	3	baited	3	b	1	0	0	0		0	0	0								
Mwanzo	f	old chimps	22	07/11/2018	19	1	opaque	7	3	mixed	4	lb	0	0	0	0		0	0	0								
Mwanzo	f	old chimps	22	07/11/2018	19	1	opaque	8	3	open	3	b	1	0	0	0		0	0	0								
Mwanzo	f	old chimps	22	07/11/2018	19	2	opaque	9	2	baited	3	lb	0	0	0	0		0	0	0								
Mwanzo	f	old chimps	22	07/11/2018	19	2	opaque	10	2	mixed	1	lb	0	0	0	0		0	0	0								
Mwanzo	f	old chimps	22	07/11/2018	19	2	opaque	11	1	baited	1	b	1	0	0	0		0	0	0								
Mwanzo	f	old chimps	22	07/11/2018	19	2	opaque	12	4	open	4	b	1	0	0	0		0	0	0								
Alikaka	m	old chimps	16	05/11/2018	19	1	transparent	1	2	mixed	1	lb	0	0	0	0		0	0	0								
Alikaka	m	old chimps	16	05/11/2018	19	1	transparent	2	4	open	4	b	1	0	0	0		0	0	0								
Alikaka	m	old chimps	16	05/11/2018	19	1	transparent	3	2	baited	1	lb	0	0	0	0		0	0	0								
Alikaka	m	old chimps	16	05/11/2018	19	1	transparent	4	1	open	1	b	1	0	0	0		0	0	0								
Alikaka	m	old chimps	16	05/11/2018	19	1	transparent	5	2	mixed	1	l	0	0	0	0		0	0	0								
Alikaka	m	old chimps	16	05/11/2018	19	1	transparent	6	4	baited	4	b	1	0	0	0		0	0	0								
Alikaka	m	old chimps	16	05/11/2018	19	1	transparent	7	4	mixed	4	b	1	0	0	0		0	0	0								
Alikaka	m	old chimps	16	05/11/2018	19	1	transparent	8	2	open	1	e	0	0	0	0		0	0	0								
Alikaka	m	old chimps	16	05/11/2018	19	1	transparent	9	3	baited	4	lb	0	0	0	0		0	0	0								
Alikaka	m	old chimps	16	05/11/2018	19	1	transparent	10	3	open	1	e	0	0	0	0		0	0	0								
Alikaka	m	old chimps	16	05/11/2018	19	1	transparent	11	2	mixed	4	lb	0	0	0	0		0	0	0								
Alikaka	m	old chimps	16	05/11/2018	19	1	transparent	12	1	baited	4	lb	0	0	0	0		0	0	0								
Alikaka	m	old chimps	16	05/11/2018	19	1	opaque	1	1	open	1	b	1	0	0	0		0	0	0								
Alikaka	m	old chimps	16	05/11/2018	19	1	opaque	2	4	baited	1	lb	0	0	0	0		0	0	0								
Alikaka	m	old chimps	16	05/11/2018	19	1	opaque	3	2	mixed	2	b	1	0	0	0		0	0	0								
Alikaka	m	old chimps	16	05/11/2018	19	1	opaque	4	2	open	1	e	0	0	0	0		0	0	0	peaked before trial							
Alikaka	m	old chimps	16	07/11/2018	19	1	opaque	5	4	mixed	1	l	0	0	0	0		0	0	0								
Alikaka	m	old chimps	16	07/11/2018	19	1	opaque	6	3	baited	4	lb	0	0	1	1	1	0	0	0	maybe peak below							
Alikaka	m	old chimps	16	07/11/2018	19	1	opaque	7	3	mixed	1	l	0	0	0	0		0	0	0								
Alikaka	m	old chimps	16	07/11/2018	19	1	opaque	8	3	open	1	e	0	0	0	0		0	0	0								
Alikaka	m	old chimps	16	07/11/2018	19	1	opaque	9	2	baited	1	lb	0	0	0	0		0	0	0								
Alikaka	m	old chimps	16	07/11/2018	19	1	opaque	10	2	mixed	4	e	0	0	0	0		0	0	0								
Alikaka	m	old chimps	16	07/11/2018	19	1	opaque	11	1	baited	1	b	1	0	0	0		0	0	0								
Alikaka	m	old chimps	16	07/11/2018	19	1	opaque	12	4	open	1	e	0	0	0	0		0	0	0								
Cheetah	f	old chimps	31	02/11/2018	19	1	transparent	1	4	baited	4	b	1	0	0	0		0	0	0								
Cheetah	f	old chimps	31	02/11/2018	19	1	transparent	2	4	mixed	4	b	1	0	0	0		0	0	0								
Cheetah	f	old chimps	31	02/11/2018	19	1	transparent	3	3	open	4	e	0	0	0	0		0	0	0								
Cheetah	f	old chimps	31	02/11/2018	19	1	transparent	4	3	baited	4	lb	0	1	0	1	1	0	0	0	below bar							
Cheetah	f	old chimps	31	02/11/2018	19	1	transparent	5	1	open	1	b	1	0	0	0		0	0	0								
Cheetah	f	old chimps	31	02/11/2018	19	1	transparent	6	1	mixed	1	b	1	0	0	0		0	0	0								
Cheetah	f	old chimps	31	02/11/2018	19	1	transparent	7	4	open	4	b	1	0	0	0		0	0	0								
